,Cat.Sel,Group.Description,Desc,Qty,RCV,group_1,group_2,group_3,buildarchtype
1,PNT.SILLS,StructureLevelLineItems,Stain & finish wood window sill,170,573.24,general,split,general-split,R_1-L-BD-CU
2,FNC.SILLH,StructureLevelLineItems,Window sill - hardwood,170,1122,general,split,general-split,R_1-L-BD-CU
3,ELE.SMOKE+,StructureLevelLineItems,Smoke detector - High grade,1,104.51,general,split,general-split,R_1-L-BD-CU
4,LIT.FL2-6+,StructureLevelLineItems,Fluorescent - two tube - 6' - fixture w/lens,1,172.18,general,split,general-split,R_1-L-BD-CU
5,HVC.DVENT,StructureLevelLineItems,Clothes dryer vent - installed,1,90.02,general,split,general-split,R_1-L-BD-CU
6,PNT.HRS,StructureLevelLineItems,Stain & finish handrail - wall mounted,30,76.32,general,split,general-split,R_1-L-BD-CU
7,FNC.HR+,StructureLevelLineItems,Handrail - detailed profile - softwood - wall mounted,30,663.12,general,split,general-split,R_1-L-BD-CU
8,FNC.LAB,StructureLevelLineItems,Finish Carpenter - per hour,35,3233.59,general,split,general-split,R_1-L-BD-CU
9,PLM.RGHFIX,StructureLevelLineItems,Rough-in plumbing - per fixture,2,1573.76,general,split,general-split,R_1-L-BD-CU
10,PLM.WH50,StructureLevelLineItems,Water heater - 50 gallon - Gas - 6 yr,2,3508.9,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
11,PNT.SHW,StructureLevelLineItems,"Seal & paint wood shelving, 12""- 24"" width",25,133.2,general,split,general-split,R_1-L-BD-CU
12,FNC.SH16,StructureLevelLineItems,"Shelving - 16"" - in place",25,346.51,general,split,general-split,R_1-L-BD-CU
13,PNT.SP,StructureLevelLineItems,Seal/prime (1 coat) then paint (1 coat) the surface area,122,143.48,general,split,general-split,R_1-L-BD-CU
14,DRY.1/2+,StructureLevelLineItems,"1/2"" drywall - hung, taped, heavy texture, ready for paint",122,491.9,general,split,general-split,R_1-L-BD-CU
15,FNH.DORH+,StructureLevelLineItems,Door knob - interior - High grade,1,74.89,general,split,general-split,R_1-L-BD-CU
16,DOR.AV+,StructureLevelLineItems,Interior door unit - High grade,1,439.42,general,split,general-split,R_1-L-BD-CU
17,PNT.DORT,StructureLevelLineItems,Paint door/window trim & jamb - 2 coats (per side),2,75.26,general,split,general-split,R_1-L-BD-CU
18,PNT.DOR,StructureLevelLineItems,Paint door slab only - 2 coats (per side),2,93.44,general,split,general-split,R_1-L-BD-CU
19,INS.BTF10_b1,StructureLevelLineItems,"Batt insulation - 10"" - R30 - paper / foil faced",2791.18,8708.49,general,split,general-split,R_1-L-BD-CU
20,INS.BTF10_b1,StructureLevelLineItems,"Batt insulation - 10"" - R30 - paper / foil faced",2500,7800,general,split,general-split,R_1-L-BD-CU
21,HVC.FRFAH>,StructureLevelLineItems,"Furnace - forced air - high efficiency - 100,000 BTU",1,4972.4,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
22,HVC.DCT>_b1,StructureLevelLineItems,Ductwork system - hot or cold air - 1600 to 2199 SF home,1,7488.92,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
23,HVC.TS+,StructureLevelLineItems,Thermostat - High grade,1,188.17,general,split,general-split,R_1-L-BD-CU
24,HVC.DRNL,StructureLevelLineItems,Condensate drain line,1,81.31,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
25,HVC.AC>_b,StructureLevelLineItems,Central air conditioning system - 4 ton - up to 13 SEER,1,5188.96,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
26,PNT.MNTLS,StructureLevelLineItems,Stain & finish wood fireplace mantel,6,53.2,general_main,main,general-main,R_1-L-BD-CU
27,FPL.MNTL+,StructureLevelLineItems,Fireplace mantel - stain grade or hardwood - prefab.,1,870.63,general_main,main,general-main,R_1-L-BD-CU
28,PLM.WS>,StructureLevelLineItems,Water softener - electronically metered - Large,1,1664.68,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
29,PNT.BK,StructureLevelLineItems,Seal & paint bookcase,75,248.4,general,split,general-split,R_1-L-BD-CU
30,FNC.BK12,StructureLevelLineItems,"Bookcase - built in - 12"" - (SF of face area)",75,1657.8,general,split,general-split,R_1-L-BD-CU
31,PLM.RGHFIX,StructureLevelLineItems,Rough-in plumbing - per fixture,1,786.87,general,split,general-split,R_1-L-BD-CU
32,PLM.FAU+,StructureLevelLineItems,Sink faucet - Kitchen - High grade,1,505.12,Kitchen,main,Kitchen,R_1-L-BD-CU
33,PLM.LTUB+,StructureLevelLineItems,Laundry tub - High grade,1,539.19,LaundryRoom,main,Laundry Room,R_1-L-BD-CU
34,LIT.TRK,StructureLevelLineItems,Track lighting - track only,2,47.96,general,split,general-split,R_1-L-BD-CU
35,LIT.TRKCN+,StructureLevelLineItems,Fixture (can) for track lighting - High grade,1,61.65,general,split,general-split,R_1-L-BD-CU
36,LIT.FN+,StructureLevelLineItems,Ceiling fan without light - High grade,3,1252.88,general,split,general-split,R_1-L-BD-CU
37,LIT.CHAN>++,StructureLevelLineItems,Chandelier - oversized - Premium grade,1,2793.82,general,split,general-split,R_1-L-BD-CU
38,LIT.X+,StructureLevelLineItems,Exterior light fixture - High grade,3,412.09,general_main,main,general-main,R_1-L-BD-CU
39,FNH.DBX,StructureLevelLineItems,Door lockset & deadbolt - exterior,3,378.03,general_main,main,general-main,R_1-L-BD-CU
40,DOR.X+,StructureLevelLineItems,Exterior door - metal - insulated / wood - High grade,3,2048.9,general_main,main,general-main,R_1-L-BD-CU
41,WDP.6V+,StructureLevelLineItems,6-0 6-8 vinyl sliding patio door - High grade,1,1938.36,general_main,main,general-main,R_1-L-BD-CU
42,ELE.OL,StructureLevelLineItems,"Phone, TV, or speaker outlet",2,42.64,general,split,general-split,R_1-L-BD-CU
43,ELE.BPNL200,StructureLevelLineItems,Breaker panel - 200 amp,1,1786.81,mech_single,mechanical,general-mechanical,R_1-L-BD-CU
44,ELE.LV,StructureLevelLineItems,Phone / low voltage copper wiring,40,47.52,general,split,general-split,R_1-L-BD-CU
45,ELE.OL,StructureLevelLineItems,"Phone, TV, or speaker outlet",4,85.3,general,split,general-split,R_1-L-BD-CU
46,ELE.XOS,StructureLevelLineItems,Exterior outlet or switch,2,49.8,general_main,main,general-main,R_1-L-BD-CU
47,ELE.REWIRE,StructureLevelLineItems,Rewire\wire - avg. residence - boxes & wiring,5000,21480,general,split,general-split,R_1-L-BD-CU
48,ELE.LV,StructureLevelLineItems,Phone / low voltage copper wiring,40,47.52,general,split,general-split,R_1-L-BD-CU
49,PNT.SHW,StructureLevelLineItems,"Seal & paint wood shelving, 12""- 24"" width",10,53.28,general,split,general-split,R_1-L-BD-CU
50,FNC.SH16,StructureLevelLineItems,"Shelving - 16"" - in place",10,138.6,general,split,general-split,R_1-L-BD-CU
51,FNC.CLROD,StructureLevelLineItems,Closet rod,10,57,general,split,general-split,R_1-L-BD-CU
52,PNT.SP,StructureLevelLineItems,Seal/prime (1 coat) then paint (1 coat) the surface area,244,286.94,general,split,general-split,R_1-L-BD-CU
53,DRY.1/2+,StructureLevelLineItems,"1/2"" drywall - hung, taped, heavy texture, ready for paint",244,983.8,general,split,general-split,R_1-L-BD-CU
54,FNH.DORH+,StructureLevelLineItems,Door knob - interior - High grade,2,149.78,general,split,general-split,R_1-L-BD-CU
55,DOR.AV+,StructureLevelLineItems,Interior door unit - High grade,2,878.84,general,split,general-split,R_1-L-BD-CU
56,PNT.DORT,StructureLevelLineItems,Paint door/window trim & jamb - 2 coats (per side),4,150.52,general,split,general-split,R_1-L-BD-CU
57,PNT.DOR,StructureLevelLineItems,Paint door slab only - 2 coats (per side),4,186.86,general,split,general-split,R_1-L-BD-CU
58,PLM.FAUB,StructureLevelLineItems,Sink faucet - Brass,4,2855.72,general,split,general-split,R_1-L-BD-CU
59,ELE.OS,EntryFoyer,Outlet,2,31.84,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
60,LIT.AV+,EntryFoyer,Light fixture - High grade,1,118.58,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
61,WPR.BORDR-,EntryFoyer,Wallpaper border - Standard grade,15.73,49.45,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
62,WPR.AV-,EntryFoyer,Wallpaper - Standard grade,141.6,367.04,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
63,PNT.S,EntryFoyer,Seal the surface area w/latex based stain blocker - one coat,141.6,107.05,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
64,PNT.SP,EntryFoyer,Seal/prime (1 coat) then paint (1 coat) the surface area,177,208.16,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
65,PNL.AV,EntryFoyer,Paneling,35.4,159.72,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
66,DRY.1/2+,EntryFoyer,"1/2"" drywall - hung, taped, heavy texture, ready for paint",354,1427.32,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
67,PNT.CWN>,EntryFoyer,"Paint crown moulding, oversized - one coat",39.33,49.08,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
68,FNC.CWN>+,EntryFoyer,"Crown moulding - 4 1/4"" stain grade",39.33,378.51,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
69,FNC.PILS,EntryFoyer,Pilaster - urethane - smooth face,28,1068.82,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
70,FNC.PDPC,EntryFoyer,Pediment - peaked cap style,8,572.16,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
71,PNT.BS,EntryFoyer,Stain & finish baseboard,39.33,71.27,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
72,FNC.B3+,EntryFoyer,"Baseboard - 3 1/4"" stain grade",39.33,268.07,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
73,DRY.1/2+,EntryFoyer,"1/2"" drywall - hung, taped, heavy texture, ready for paint",136.73,551.29,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
74,PNT.S,EntryFoyer,Seal the surface area w/latex based stain blocker - one coat,136.73,103.36,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
75,PNT.P,EntryFoyer,Paint the surface area - one coat,136.73,113.2,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
76,FCT.AV++,EntryFoyer,Tile floor covering - Premium grade,19.34,402.67,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
77,FCW.FIN,EntryFoyer,Sand & finish wood floor (natural finish),38.68,166.17,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
78,FCW.AV+,EntryFoyer,Oak flooring - select grade - no finish,38.68,457.2,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
79,FCC.PAD+,EntryFoyer,Carpet pad - High grade,44.48,54.45,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
80,FCC.AV++,EntryFoyer,Carpet - Premium grade,44.48,492.67,EntryFoyer,main,Entry Foyer,R_1-L-BD-CU
81,ELE.OS,WalkInCloset2,Outlet,2,31.84,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
82,PNT.SHW,WalkInCloset2,"Seal & paint wood shelving, 12""- 24"" width",52,277.06,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
83,FNC.SH16,WalkInCloset2,"Shelving - 16"" - in place",26,360.36,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
84,FNC.SH12,WalkInCloset2,"Shelving - 12"" - in place",26,335.72,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
85,FNC.CLROD,WalkInCloset2,Closet rod,26,148.2,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
86,LIT.AV+,WalkInCloset2,Light fixture - High grade,1,118.58,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
87,FNH.DORH+,WalkInCloset2,Door knob - interior - High grade,1,74.89,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
88,PNT.DOR,WalkInCloset2,Paint door slab only - 2 coats (per side),2,93.44,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
89,PNT.DORT,WalkInCloset2,Paint door/window trim & jamb - 2 coats (per side),2,75.26,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
90,DOR.AV+,WalkInCloset2,Interior door unit - High grade,1,439.42,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
91,WPR.BORDR-,WalkInCloset2,Wallpaper border - Standard grade,17.33,54.48,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
92,WPR.AV-,WalkInCloset2,Wallpaper - Standard grade,156,404.36,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
93,PNT.S,WalkInCloset2,Seal the surface area w/latex based stain blocker - one coat,156,117.94,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
94,PNT.SP,WalkInCloset2,Seal/prime (1 coat) then paint (1 coat) the surface area,195,229.32,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
95,PNL.AV,WalkInCloset2,Paneling,39,175.96,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
96,DRY.1/2+,WalkInCloset2,"1/2"" drywall - hung, taped, heavy texture, ready for paint",390,1572.48,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
97,PNT.BS,WalkInCloset2,Stain & finish baseboard,43.33,78.51,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
98,FNC.B3+,WalkInCloset2,"Baseboard - 3 1/4"" stain grade",43.33,295.33,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
99,DRY.1/2+,WalkInCloset2,"1/2"" drywall - hung, taped, heavy texture, ready for paint",116.36,469.17,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
100,PNT.S,WalkInCloset2,Seal the surface area w/latex based stain blocker - one coat,116.36,87.97,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
101,PNT.P,WalkInCloset2,Paint the surface area - one coat,116.36,96.35,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
102,FCT.AV++,WalkInCloset2,Tile floor covering - Premium grade,23.27,484.47,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
103,FCW.FIN,WalkInCloset2,Sand & finish wood floor (natural finish),46.54,199.93,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
104,FCW.AV+,WalkInCloset2,Oak flooring - select grade - no finish,46.54,550.1,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
105,FCC.PAD+,WalkInCloset2,Carpet pad - High grade,53.53,65.52,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
106,FCC.AV++,WalkInCloset2,Carpet - Premium grade,53.53,592.9,WalkInCloset2,basement,Walk-In Closet,R_1-L-BD-CU
107,MBL.WN,Bath,Wall veneer panels - natural marble,60,6019.92,Bath,main,Full Bath,R_1-L-BD-CU
108,TIL.BMUD,Bath,Mortar bed for tile,60,634.32,Bath,main,Full Bath,R_1-L-BD-CU
109,FNH.TP+,Bath,Toilet paper holder - High grade,1,51.12,Bath,main,Full Bath,R_1-L-BD-CU
110,FNH.TBAR+,Bath,Towel bar - High grade,1,55.05,Bath,main,Full Bath,R_1-L-BD-CU
111,PNT.SHW,Bath,"Seal & paint wood shelving, 12""- 24"" width",15,79.92,Bath,main,Full Bath,R_1-L-BD-CU
112,FNC.SH16,Bath,"Shelving - 16"" - in place",15,207.91,Bath,main,Full Bath,R_1-L-BD-CU
113,FNH.TR+,Bath,Towel ring - High grade,1,51.83,Bath,main,Full Bath,R_1-L-BD-CU
114,ELE.OS,Bath,Outlet,2,31.84,Bath,main,Full Bath,R_1-L-BD-CU
115,MSD.AV,Bath,"Mirror - 1/4"" plate glass",6,134.86,Bath,main,Full Bath,R_1-L-BD-CU
116,CAB.MC+,Bath,Medicine cabinet - High grade,1,348.2,Bath,main,Full Bath,R_1-L-BD-CU
117,PLM.RGHFIX,Bath,Rough-in plumbing - per fixture,0.75,590.16,Bath,main,Full Bath,R_1-L-BD-CU
118,PLM.RGHFIX,Bath,Rough-in plumbing - per fixture,0.75,590.16,Bath,main,Full Bath,R_1-L-BD-CU
119,PLM.RGHFIX,Bath,Rough-in plumbing - per fixture,0.25,196.71,Bath,main,Full Bath,R_1-L-BD-CU
120,PLM.RGHFIX,Bath,Rough-in plumbing - per fixture,0.25,196.71,Bath,main,Full Bath,R_1-L-BD-CU
121,PLM.TLTS+,Bath,Toilet seat - High grade,1,94.43,Bath,main,Full Bath,R_1-L-BD-CU
122,PLM.TLT+,Bath,Toilet - High grade,1,891.81,Bath,main,Full Bath,R_1-L-BD-CU
123,PLM.TUB+,Bath,Bathtub - High grade,1,1359.69,Bath,main,Full Bath,R_1-L-BD-CU
124,MSD.TUBDR+,Bath,Bathtub enclosure - sliding glass doors - High grade,1,786.48,Bath,main,Full Bath,R_1-L-BD-CU
125,PLM.TSFAU+,Bath,Tub/shower faucet - High grade,1,498.26,Bath,main,Full Bath,R_1-L-BD-CU
126,HVC.DCTFN3,Bath,"Ductwork - flexible - non-insulated - 3"" round",10,78.84,Bath,main,Full Bath,R_1-L-BD-CU
127,HVC.BVENT+,Bath,Bathroom ventilation fan - High grade,1,236.42,Bath,main,Full Bath,R_1-L-BD-CU
128,LIT.BAR3+,Bath,Light bar - 3 lights - High grade,1,186.56,Bath,main,Full Bath,R_1-L-BD-CU
129,FNH.DORH+,Bath,Door knob - interior - High grade,1,74.89,Bath,main,Full Bath,R_1-L-BD-CU
130,PNT.DOR,Bath,Paint door slab only - 2 coats (per side),2,93.44,Bath,main,Full Bath,R_1-L-BD-CU
131,PNT.DORT,Bath,Paint door/window trim & jamb - 2 coats (per side),2,75.26,Bath,main,Full Bath,R_1-L-BD-CU
132,DOR.AV+,Bath,Interior door unit - High grade,1,439.42,Bath,main,Full Bath,R_1-L-BD-CU
133,ELE.GFI,Bath,Ground fault interrupter (GFI) outlet,1,44.4,Bath,main,Full Bath,R_1-L-BD-CU
134,CAB.VAN+,Bath,Vanity - High grade,6,2298.74,Bath,main,Full Bath,R_1-L-BD-CU
135,CAB.CTSS+,Bath,Countertop - solid surface - High grade,10,1163.88,Bath,main,Full Bath,R_1-L-BD-CU
136,PLM.FAUBA+,Bath,Sink faucet - Bathroom - High grade,1,367.12,Bath,main,Full Bath,R_1-L-BD-CU
137,PLM.RGHFIX,Bath,Rough-in plumbing - per fixture,1.5,1180.32,Bath,main,Full Bath,R_1-L-BD-CU
138,PLM.RGHFIX,Bath,Rough-in plumbing - per fixture,0.5,393.45,Bath,main,Full Bath,R_1-L-BD-CU
139,PLM.SNK+,Bath,Sink - single - High grade,2,975.94,Bath,main,Full Bath,R_1-L-BD-CU
140,WPR.BORDR-,Bath,Wallpaper border - Standard grade,10.2,32.06,Bath,main,Full Bath,R_1-L-BD-CU
141,WPR.AV-,Bath,Wallpaper - Standard grade,91.8,237.95,Bath,main,Full Bath,R_1-L-BD-CU
142,PNT.S,Bath,Seal the surface area w/latex based stain blocker - one coat,91.8,69.39,Bath,main,Full Bath,R_1-L-BD-CU
143,PNT.SP,Bath,Seal/prime (1 coat) then paint (1 coat) the surface area,114.75,134.96,Bath,main,Full Bath,R_1-L-BD-CU
144,PNL.AV,Bath,Paneling,22.95,103.55,Bath,main,Full Bath,R_1-L-BD-CU
145,DRY.1/2+,Bath,"1/2"" drywall - hung, taped, heavy texture, ready for paint",229.5,925.34,Bath,main,Full Bath,R_1-L-BD-CU
146,PNT.BS,Bath,Stain & finish baseboard,25.5,46.21,Bath,main,Full Bath,R_1-L-BD-CU
147,FNC.B3+,Bath,"Baseboard - 3 1/4"" stain grade",25.5,173.8,Bath,main,Full Bath,R_1-L-BD-CU
148,DRY.1/2+,Bath,"1/2"" drywall - hung, taped, heavy texture, ready for paint",38.51,155.27,Bath,main,Full Bath,R_1-L-BD-CU
149,PNT.S,Bath,Seal the surface area w/latex based stain blocker - one coat,38.51,29.12,Bath,main,Full Bath,R_1-L-BD-CU
150,PNT.P,Bath,Paint the surface area - one coat,38.51,31.89,Bath,main,Full Bath,R_1-L-BD-CU
151,FCT.AV++,Bath,Tile floor covering - Premium grade,7.7,160.32,Bath,main,Full Bath,R_1-L-BD-CU
152,FCW.FIN,Bath,Sand & finish wood floor (natural finish),15.41,66.21,Bath,main,Full Bath,R_1-L-BD-CU
153,FCW.AV+,Bath,Oak flooring - select grade - no finish,15.41,182.15,Bath,main,Full Bath,R_1-L-BD-CU
154,FCC.PAD+,Bath,Carpet pad - High grade,17.72,21.69,Bath,main,Full Bath,R_1-L-BD-CU
155,FCC.AV++,Bath,Carpet - Premium grade,17.72,196.28,Bath,main,Full Bath,R_1-L-BD-CU
156,MBL.WN,Bath5,Wall veneer panels - natural marble,60,6019.92,Bath5,basement,Full Bath,R_1-L-BD-CU
157,TIL.BMUD,Bath5,Mortar bed for tile,60,634.32,Bath5,basement,Full Bath,R_1-L-BD-CU
158,FNH.TP+,Bath5,Toilet paper holder - High grade,1,51.12,Bath5,basement,Full Bath,R_1-L-BD-CU
159,FNH.TBAR+,Bath5,Towel bar - High grade,1,55.05,Bath5,basement,Full Bath,R_1-L-BD-CU
160,PNT.SHW,Bath5,"Seal & paint wood shelving, 12""- 24"" width",15,79.92,Bath5,basement,Full Bath,R_1-L-BD-CU
161,FNC.SH16,Bath5,"Shelving - 16"" - in place",15,207.91,Bath5,basement,Full Bath,R_1-L-BD-CU
162,FNH.TR+,Bath5,Towel ring - High grade,1,51.83,Bath5,basement,Full Bath,R_1-L-BD-CU
163,ELE.OS,Bath5,Outlet,2,31.84,Bath5,basement,Full Bath,R_1-L-BD-CU
164,MSD.AV,Bath5,"Mirror - 1/4"" plate glass",6,134.86,Bath5,basement,Full Bath,R_1-L-BD-CU
165,CAB.MC+,Bath5,Medicine cabinet - High grade,1,348.2,Bath5,basement,Full Bath,R_1-L-BD-CU
166,PLM.RGHFIX,Bath5,Rough-in plumbing - per fixture,0.75,590.16,Bath5,basement,Full Bath,R_1-L-BD-CU
167,PLM.RGHFIX,Bath5,Rough-in plumbing - per fixture,0.75,590.16,Bath5,basement,Full Bath,R_1-L-BD-CU
168,PLM.RGHFIX,Bath5,Rough-in plumbing - per fixture,0.25,196.71,Bath5,basement,Full Bath,R_1-L-BD-CU
169,PLM.RGHFIX,Bath5,Rough-in plumbing - per fixture,0.25,196.71,Bath5,basement,Full Bath,R_1-L-BD-CU
170,PLM.TLTS+,Bath5,Toilet seat - High grade,1,94.43,Bath5,basement,Full Bath,R_1-L-BD-CU
171,PLM.TLT+,Bath5,Toilet - High grade,1,891.81,Bath5,basement,Full Bath,R_1-L-BD-CU
172,PLM.TUB+,Bath5,Bathtub - High grade,1,1359.69,Bath5,basement,Full Bath,R_1-L-BD-CU
173,MSD.TUBDR+,Bath5,Bathtub enclosure - sliding glass doors - High grade,1,786.48,Bath5,basement,Full Bath,R_1-L-BD-CU
174,PLM.TSFAU+,Bath5,Tub/shower faucet - High grade,1,498.26,Bath5,basement,Full Bath,R_1-L-BD-CU
175,HVC.DCTFN3,Bath5,"Ductwork - flexible - non-insulated - 3"" round",10,78.84,Bath5,basement,Full Bath,R_1-L-BD-CU
176,HVC.BVENT+,Bath5,Bathroom ventilation fan - High grade,1,236.42,Bath5,basement,Full Bath,R_1-L-BD-CU
177,LIT.BAR3+,Bath5,Light bar - 3 lights - High grade,1,186.56,Bath5,basement,Full Bath,R_1-L-BD-CU
178,FNH.DORH+,Bath5,Door knob - interior - High grade,1,74.89,Bath5,basement,Full Bath,R_1-L-BD-CU
179,PNT.DOR,Bath5,Paint door slab only - 2 coats (per side),2,93.44,Bath5,basement,Full Bath,R_1-L-BD-CU
180,PNT.DORT,Bath5,Paint door/window trim & jamb - 2 coats (per side),2,75.26,Bath5,basement,Full Bath,R_1-L-BD-CU
181,DOR.AV+,Bath5,Interior door unit - High grade,1,439.42,Bath5,basement,Full Bath,R_1-L-BD-CU
182,ELE.GFI,Bath5,Ground fault interrupter (GFI) outlet,1,44.4,Bath5,basement,Full Bath,R_1-L-BD-CU
183,CAB.VAN+,Bath5,Vanity - High grade,6,2298.74,Bath5,basement,Full Bath,R_1-L-BD-CU
184,CAB.CTSS+,Bath5,Countertop - solid surface - High grade,10,1163.88,Bath5,basement,Full Bath,R_1-L-BD-CU
185,PLM.FAUBA+,Bath5,Sink faucet - Bathroom - High grade,1,367.12,Bath5,basement,Full Bath,R_1-L-BD-CU
186,PLM.RGHFIX,Bath5,Rough-in plumbing - per fixture,1.5,1180.32,Bath5,basement,Full Bath,R_1-L-BD-CU
187,PLM.RGHFIX,Bath5,Rough-in plumbing - per fixture,0.5,393.45,Bath5,basement,Full Bath,R_1-L-BD-CU
188,PLM.SNK+,Bath5,Sink - single - High grade,2,975.94,Bath5,basement,Full Bath,R_1-L-BD-CU
189,WPR.BORDR-,Bath5,Wallpaper border - Standard grade,10.2,32.06,Bath5,basement,Full Bath,R_1-L-BD-CU
190,WPR.AV-,Bath5,Wallpaper - Standard grade,91.8,237.95,Bath5,basement,Full Bath,R_1-L-BD-CU
191,PNT.S,Bath5,Seal the surface area w/latex based stain blocker - one coat,91.8,69.39,Bath5,basement,Full Bath,R_1-L-BD-CU
192,PNT.SP,Bath5,Seal/prime (1 coat) then paint (1 coat) the surface area,114.75,134.96,Bath5,basement,Full Bath,R_1-L-BD-CU
193,PNL.AV,Bath5,Paneling,22.95,103.55,Bath5,basement,Full Bath,R_1-L-BD-CU
194,DRY.1/2+,Bath5,"1/2"" drywall - hung, taped, heavy texture, ready for paint",229.5,925.34,Bath5,basement,Full Bath,R_1-L-BD-CU
195,PNT.BS,Bath5,Stain & finish baseboard,25.5,46.21,Bath5,basement,Full Bath,R_1-L-BD-CU
196,FNC.B3+,Bath5,"Baseboard - 3 1/4"" stain grade",25.5,173.8,Bath5,basement,Full Bath,R_1-L-BD-CU
197,DRY.1/2+,Bath5,"1/2"" drywall - hung, taped, heavy texture, ready for paint",38.51,155.27,Bath5,basement,Full Bath,R_1-L-BD-CU
198,PNT.S,Bath5,Seal the surface area w/latex based stain blocker - one coat,38.51,29.12,Bath5,basement,Full Bath,R_1-L-BD-CU
199,PNT.P,Bath5,Paint the surface area - one coat,38.51,31.89,Bath5,basement,Full Bath,R_1-L-BD-CU
200,FCT.AV++,Bath5,Tile floor covering - Premium grade,7.7,160.32,Bath5,basement,Full Bath,R_1-L-BD-CU
201,FCW.FIN,Bath5,Sand & finish wood floor (natural finish),15.41,66.21,Bath5,basement,Full Bath,R_1-L-BD-CU
202,FCW.AV+,Bath5,Oak flooring - select grade - no finish,15.41,182.15,Bath5,basement,Full Bath,R_1-L-BD-CU
203,FCC.PAD+,Bath5,Carpet pad - High grade,17.72,21.69,Bath5,basement,Full Bath,R_1-L-BD-CU
204,FCC.AV++,Bath5,Carpet - Premium grade,17.72,196.28,Bath5,basement,Full Bath,R_1-L-BD-CU
205,MBL.WN,Bath4,Wall veneer panels - natural marble,60,6019.92,Bath4,basement,Full Bath,R_1-L-BD-CU
206,TIL.BMUD,Bath4,Mortar bed for tile,60,634.32,Bath4,basement,Full Bath,R_1-L-BD-CU
207,FNH.TP+,Bath4,Toilet paper holder - High grade,1,51.12,Bath4,basement,Full Bath,R_1-L-BD-CU
208,FNH.TBAR+,Bath4,Towel bar - High grade,1,55.05,Bath4,basement,Full Bath,R_1-L-BD-CU
209,PNT.SHW,Bath4,"Seal & paint wood shelving, 12""- 24"" width",15,79.92,Bath4,basement,Full Bath,R_1-L-BD-CU
210,FNC.SH16,Bath4,"Shelving - 16"" - in place",15,207.91,Bath4,basement,Full Bath,R_1-L-BD-CU
211,FNH.TR+,Bath4,Towel ring - High grade,1,51.83,Bath4,basement,Full Bath,R_1-L-BD-CU
212,ELE.OS,Bath4,Outlet,2,31.84,Bath4,basement,Full Bath,R_1-L-BD-CU
